,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
0,BMW,4200.0,sedan,277,2.0,Petrol,yes,1991,320
1,Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999,Sprinter 212
2,Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003,S 500
3,Audi,23000.0,crossover,240,4.2,Petrol,yes,2007,Q7
4,Toyota,18300.0,crossover,120,2.0,Petrol,yes,2011,Rav 4
5,Audi,14200.0,vagon,200,2.7,Diesel,yes,2006,GLS 63
6,Renault,10799.0,vagon,193,1.5,Diesel,yes,2012,320
7,Volkswagen,1400.0,other,212,1.8,Gas,no,1999,A6
8,Renault,11950.0,vagon,177,1.5,Diesel,yes,2011,Megane
9,Renault,2500.0,sedan,260,1.79,Petrol,yes,1994,Golf IV
10,Audi,9500.0,vagon,165,2.7,Gas,yes,2003,Megane
11,Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008,19
12,Toyota,16000.0,crossover,250,4.7,Gas,yes,2001,A6 Allroad
13,Renault,8600.0,hatch,84,1.5,Diesel,yes,2012,Passat B6
14,BMW,2990.0,other,203,2.0,Petrol,no,2001,Land Cruiser 100
15,Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013,Clio
16,Audi,3500.0,vagon,250,2.5,Diesel,no,1998,318
17,Toyota,38233.0,other,0,2.4,Diesel,yes,2016,Vito
18,Volkswagen,7500.0,hatch,132,1.4,Diesel,yes,2006,Rav 4
19,Audi,6800.0,sedan,225,2.4,Gas,yes,1998,A6
20,Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006,Hilux
21,Audi,24900.0,sedan,163,4.2,Diesel,yes,2008,Polo
22,Volkswagen,20800.0,crossover,151,3.0,Diesel,yes,2008,A6
23,Audi,6500.0,sedan,330,2.4,Petrol,yes,1999,Outlander
24,Mercedes-Benz,13566.0,other,171,2.2,Other,no,2011,A8
25,Mitsubishi,8500.0,hatch,65,1.3,Petrol,yes,2010,Touareg
26,Audi,2900.0,sedan,1,2.3,Gas,yes,1989,A6
27,BMW,21500.0,other,72,3.0,Petrol,yes,2007,Vito
28,Mitsubishi,17900.0,crossover,87,3.8,Gas,yes,2008,Colt
29,BMW,28500.0,crossover,160,4.8,Gas,yes,2008,GLS 500
30,Volkswagen,9800.0,van,160,1.9,Diesel,yes,2009,100
31,Toyota,14500.0,sedan,147,2.4,Gas,yes,2006,Z4
32,BMW,6000.0,sedan,300,2.8,Petrol,yes,1996,Pajero Wagon
33,BMW,67500.0,crossover,1,2.5,Diesel,yes,2016,X5
34,Audi,33900.0,other,14,1.8,Petrol,yes,2014,Caddy
35,Mercedes-Benz,9800.0,van,230,2.15,Diesel,yes,2004,Camry
36,Mercedes-Benz,63000.0,crossover,86,5.5,Petrol,yes,2009,528
37,BMW,7700.0,sedan,326,2.8,Petrol,yes,1998,X5
38,Mercedes-Benz,9600.0,van,30,2.2,Diesel,yes,2006,TT
39,Toyota,12800.0,sedan,181,2.4,Petrol,yes,2008,A4
40,BMW,41000.0,crossover,80,3.0,Petrol,yes,2012,Vito
41,BMW,3700.0,sedan,231,2.5,Petrol,yes,1990,G 55 AMG
42,Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008,528
43,BMW,6500.0,sedan,335,2.8,Petrol,yes,1996,Vito
44,Renault,8250.0,van,66,1.5,Diesel,yes,2014,Camry
45,Mercedes-Benz,19500.0,crossover,172,3.5,Other,yes,2008,X6
46,Mercedes-Benz,13500.0,sedan,317,5.0,Petrol,yes,2001,Galant
47,Mercedes-Benz,9200.0,van,266,2.2,Diesel,yes,2008,525
48,Volkswagen,5000.0,vagon,265,2.0,Diesel,no,2006,S 500
49,BMW,23900.0,crossover,162,4.8,Petrol,yes,2007,528
50,BMW,36900.0,sedan,81,3.0,Diesel,yes,2010,E-Class
51,BMW,8900.0,other,253,1.8,Petrol,yes,1995,Kangoo
52,Renault,7800.0,van,200,1.9,Diesel,yes,2002,ML 350
53,BMW,1650.0,sedan,270,1.8,Petrol,no,1995,S 500
54,Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006,Vito
55,Renault,9700.0,van,245,2.0,Diesel,yes,2008,GLS 350
56,Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005,Camry
57,Audi,69999.0,crossover,21,3.0,Petrol,yes,2015,Passat B6
58,Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007,X5
59,Audi,4300.0,sedan,267,1.9,Diesel,no,2003,730
60,Audi,3000.0,sedan,267,2.5,Diesel,no,1999,318
61,Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000,Trafic
62,Renault,9000.0,vagon,178,2.0,Petrol,yes,2008,X5 M
63,Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,318
64,BMW,9000.0,sedan,175,3.0,Petrol,no,2006,S 350
65,Mercedes-Benz,13400.0,sedan,105,1.8,Petrol,yes,2006,Trafic
66,Volkswagen,3700.0,sedan,195,1.9,Diesel,no,2001,Vito
67,Volkswagen,9850.0,van,126,2.0,Diesel,yes,2012,A6 Allroad
68,Audi,3700.0,hatch,420,2.0,Diesel,no,2004,Lancer
69,Toyota,15700.0,crossover,195,4.0,Gas,yes,2003,A6
70,Mercedes-Benz,24500.0,sedan,180,2.2,Diesel,yes,2012,A6
71,Mitsubishi,7500.0,sedan,195,1.6,Gas,yes,2007,E-Class
72,Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002,Scenic
73,Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014,E-Class
74,BMW,8200.0,sedan,287,2.5,Gas,yes,1999,330
75,Renault,6999.0,van,222,1.5,Diesel,yes,2009,E-Class
76,Renault,6750.0,vagon,214,1.5,Diesel,yes,2004,Passat B5
77,Audi,18500.0,sedan,245,3.0,Diesel,yes,2006,Caddy
