LogPrice,Mileage,EngineV,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Registration_yes
8.342839804,277,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
8.974618038,427,2.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
9.495519314,358,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
10.04324949,240,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9.814656339,120,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
9.560997244,200,2.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.287208816,193,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7.244227516,212,1.8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
9.388486557,177,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7.824046011,260,1.79,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
9.159047078,165,2.7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
9.259130536,100,1.8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
9.680344001,250,4.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
9.059517482,84,1.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
8.003028666,203,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10.18490001,21,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8.160518247,250,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10.5514543,0,2.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
8.9226583,132,1.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8.824677891,225,2.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
9.259130536,130,2.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
